+COORDENADAS DE LA SILUETA — BRATTYPOLITAN EXPERIENCE
Referencia curada V2: mujer constelación. Coordenadas normalizadas 0–1.
FORMATO: ID | X_norm | Y_norm | brillo_0_255 | grupo | tamano
GRUPOS: cabello, rostro, facciones, cuerpo.
Nota: sólo se incluyen conexiones detectadas de los trazos; los puntos aislados conservan aire y detalle.

PUNTOS
0097 | 0.564000 | 0.434715 | 255 | facciones | 4.0
0098 | 0.669333 | 0.602033 | 253 | rostro | 4.0
0099 | 0.728000 | 0.678655 | 255 | cabello | 4.0
0100 | 0.329333 | 0.225176 | 255 | cabello | 4.0
0101 | 0.705333 | 0.349492 | 255 | rostro | 4.0
0102 | 0.292000 | 0.586396 | 255 | cabello | 4.0
0103 | 0.476000 | 0.186865 | 255 | cabello | 4.0
0104 | 0.592000 | 0.405004 | 255 | facciones | 4.0
0105 | 0.660000 | 0.768569 | 255 | cabello | 4.0
0106 | 0.673333 | 0.475371 | 238 | rostro | 3.8
0107 | 0.349333 | 0.356529 | 239 | rostro | 3.8
0108 | 0.525333 | 0.408913 | 233 | facciones | 3.8
0109 | 0.902667 | 0.671619 | 235 | cabello | 3.8
0110 | 0.265333 | 0.268178 | 239 | cabello | 3.8
0111 | 0.800000 | 0.366693 | 241 | cabello | 3.8
0112 | 0.546667 | 0.659109 | 229 | cuerpo | 3.7
0113 | 0.853333 | 0.771697 | 247 | cabello | 3.9
0114 | 0.512000 | 0.284597 | 219 | rostro | 3.6
0115 | 0.346667 | 0.475371 | 218 | rostro | 3.6
0116 | 0.338667 | 0.637217 | 224 | cuerpo | 3.7
0117 | 0.825333 | 0.658327 | 222 | cabello | 3.6
0118 | 0.526667 | 0.326818 | 224 | rostro | 3.7
0119 | 0.598667 | 0.447224 | 224 | facciones | 3.7
0120 | 0.288000 | 0.530102 | 210 | cabello | 3.5
0121 | 0.410667 | 0.290852 | 202 | rostro | 3.4
0122 | 0.284000 | 0.524629 | 216 | cabello | 3.6
0123 | 0.694667 | 0.270524 | 200 | cabello | 3.4
0124 | 0.878667 | 0.664582 | 214 | cabello | 3.5
0125 | 0.784000 | 0.684910 | 215 | cabello | 3.6
0126 | 0.758667 | 0.784988 | 232 | cabello | 3.7
0127 | 0.709333 | 0.749023 | 210 | cabello | 3.5
0128 | 0.508000 | 0.196247 | 214 | cabello | 3.5
0129 | 0.402667 | 0.197811 | 208 | cabello | 3.5
0130 | 0.369333 | 0.369038 | 199 | rostro | 3.4
0131 | 0.437333 | 0.357310 | 197 | rostro | 3.4
0132 | 0.688000 | 0.625489 | 200 | rostro | 3.4
0133 | 0.501333 | 0.220485 | 192 | cabello | 3.3
0134 | 0.334667 | 0.600469 | 198 | rostro | 3.4
0135 | 0.682667 | 0.630962 | 199 | cabello | 3.4
0136 | 0.448000 | 0.188428 | 200 | cabello | 3.4
0137 | 0.285333 | 0.271306 | 205 | cabello | 3.5
0138 | 0.917333 | 0.655981 | 205 | cabello | 3.5
0139 | 0.661333 | 0.620798 | 205 | rostro | 3.5
0140 | 0.650667 | 0.569976 | 186 | rostro | 3.2
0141 | 0.433333 | 0.440188 | 187 | facciones | 3.3
0142 | 0.668000 | 0.726349 | 188 | cuerpo | 3.3
0143 | 0.664000 | 0.615325 | 198 | rostro | 3.4
0144 | 0.554667 | 0.320563 | 201 | rostro | 3.4
0145 | 0.840000 | 0.775606 | 185 | cabello | 3.2
0146 | 0.729333 | 0.280688 | 190 | cabello | 3.3
0147 | 0.342667 | 0.317435 | 180 | rostro | 3.2
0148 | 0.788000 | 0.316654 | 170 | cabello | 3.1
0149 | 0.244000 | 0.354183 | 167 | cabello | 3.0
0150 | 0.705333 | 0.266614 | 177 | cabello | 3.1
0151 | 0.700000 | 0.758405 | 165 | cabello | 3.0
0152 | 0.329333 | 0.390149 | 170 | facciones | 3.1
0153 | 0.557333 | 0.342455 | 162 | rostro | 3.0
0154 | 0.338667 | 0.219703 | 195 | cabello | 3.3
0155 | 0.665333 | 0.541048 | 163 | rostro | 3.0
0156 | 0.913333 | 0.673182 | 157 | cabello | 2.9
0157 | 0.845333 | 0.695074 | 178 | cabello | 3.2
0158 | 0.517333 | 0.180610 | 150 | cabello | 2.8
0159 | 0.702667 | 0.706020 | 166 | cabello | 3.0
0160 | 0.500000 | 0.212666 | 151 | cabello | 2.9
0161 | 0.349333 | 0.329945 | 158 | rostro | 2.9
0162 | 0.906667 | 0.637998 | 158 | cabello | 2.9
0163 | 0.913333 | 0.780297 | 151 | cabello | 2.9
0164 | 0.325333 | 0.376857 | 139 | rostro | 2.7
0165 | 0.648000 | 0.643471 | 152 | cuerpo | 2.9
0166 | 0.210667 | 0.323690 | 172 | cabello | 3.1
0167 | 0.392000 | 0.187647 | 141 | cabello | 2.7
0168 | 0.521333 | 0.299453 | 144 | rostro | 2.8
0169 | 0.516000 | 0.670837 | 141 | cuerpo | 2.7
0170 | 0.265333 | 0.293980 | 143 | cabello | 2.8
0171 | 0.532000 | 0.295543 | 134 | rostro | 2.7
0172 | 0.756000 | 0.663800 | 138 | cabello | 2.7
0173 | 0.660000 | 0.523065 | 140 | rostro | 2.7
0174 | 0.813333 | 0.670055 | 132 | cabello | 2.6
0175 | 0.829333 | 0.736513 | 136 | cabello | 2.7
0176 | 0.716000 | 0.676310 | 137 | cabello | 2.7
0177 | 0.757333 | 0.762314 | 138 | cabello | 2.7
0178 | 0.577333 | 0.665364 | 145 | cuerpo | 2.8
0179 | 0.285333 | 0.233776 | 121 | cabello | 2.5
0180 | 0.341333 | 0.382330 | 135 | rostro | 2.7
0181 | 0.561333 | 0.419077 | 126 | facciones | 2.6
0182 | 0.685333 | 0.519156 | 116 | rostro | 2.5
0183 | 0.740000 | 0.687256 | 121 | cabello | 2.5
0184 | 0.344000 | 0.322908 | 116 | rostro | 2.5
0185 | 0.958667 | 0.669273 | 132 | cabello | 2.6
0186 | 0.666667 | 0.290852 | 118 | rostro | 2.5
0187 | 0.730667 | 0.716185 | 123 | cabello | 2.6
0188 | 0.744000 | 0.268178 | 114 | cabello | 2.5
0189 | 0.336000 | 0.416732 | 142 | facciones | 2.8
0190 | 0.280000 | 0.239249 | 109 | cabello | 2.4
0191 | 0.597333 | 0.572322 | 114 | facciones | 2.5
0192 | 0.201333 | 0.361220 | 108 | cabello | 2.4
0193 | 0.240000 | 0.293980 | 142 | cabello | 2.8
0194 | 0.248000 | 0.339328 | 109 | cabello | 2.4
0195 | 0.766667 | 0.630962 | 112 | cabello | 2.4
0196 | 0.656000 | 0.215012 | 111 | cabello | 2.4
0197 | 0.562667 | 0.568413 | 101 | facciones | 2.3
0198 | 0.806667 | 0.713057 | 106 | cabello | 2.4
0199 | 0.624000 | 0.438624 | 110 | facciones | 2.4
